from_id,link_type,to_id,reason
CTMS-01-T02,blocked by,CTMS-01-T01,Task execution order
CTMS-02,blocked by,CTMS-01,Story dependency
CTMS-02-T02,blocked by,CTMS-02-T01,Task execution order
CTMS-03,blocked by,CTMS-02,Story dependency
CTMS-03-T02,blocked by,CTMS-03-T01,Task execution order
CTMS-04,blocked by,CTMS-03,Story dependency
CTMS-04-T02,blocked by,CTMS-04-T01,Task execution order
CTMS-05,blocked by,CTMS-01,Story dependency
CTMS-05-T02,blocked by,CTMS-05-T01,Task execution order
CTMS-06,blocked by,CTMS-03,Story dependency
CTMS-06-T02,blocked by,CTMS-06-T01,Task execution order
CTMS-07,blocked by,CTMS-03,Story dependency
CTMS-07-T02,blocked by,CTMS-07-T01,Task execution order
CTMS-08,blocked by,CTMS-03,Story dependency
CTMS-08-T02,blocked by,CTMS-08-T01,Task execution order
CTMS-09,blocked by,CTMS-07,Story dependency
CTMS-09-T02,blocked by,CTMS-09-T01,Task execution order
CTMS-10,blocked by,CTMS-06,Story dependency
CTMS-10-T02,blocked by,CTMS-10-T01,Task execution order
CTMS-11,blocked by,CTMS-10,Story dependency
CTMS-11-T02,blocked by,CTMS-11-T01,Task execution order
CTMS-12,blocked by,CTMS-10,Story dependency
CTMS-12-T02,blocked by,CTMS-12-T01,Task execution order
CTMS-13,blocked by,CTMS-10,Story dependency
CTMS-13,blocked by,CTMS-12,Story dependency
CTMS-13-T02,blocked by,CTMS-13-T01,Task execution order
CTMS-14,blocked by,CTMS-12,Story dependency
CTMS-14-T02,blocked by,CTMS-14-T01,Task execution order
CTMS-15,blocked by,CTMS-10,Story dependency
CTMS-15-T02,blocked by,CTMS-15-T01,Task execution order
CTMS-16,blocked by,CTMS-06,Story dependency
CTMS-16,blocked by,CTMS-10,Story dependency
CTMS-16-T02,blocked by,CTMS-16-T01,Task execution order
CTMS-17,blocked by,CTMS-16,Story dependency
CTMS-17-T02,blocked by,CTMS-17-T01,Task execution order
CTMS-18,blocked by,CTMS-17,Story dependency
CTMS-18-T02,blocked by,CTMS-18-T01,Task execution order
CTMS-19,blocked by,CTMS-10,Story dependency
CTMS-19-T02,blocked by,CTMS-19-T01,Task execution order
CTMS-20,blocked by,CTMS-19,Story dependency
CTMS-20-T02,blocked by,CTMS-20-T01,Task execution order
CTMS-21,blocked by,CTMS-19,Story dependency
CTMS-21-T02,blocked by,CTMS-21-T01,Task execution order
CTMS-22,blocked by,CTMS-06,Story dependency
CTMS-22,blocked by,CTMS-19,Story dependency
CTMS-22-T02,blocked by,CTMS-22-T01,Task execution order
CTMS-23,blocked by,CTMS-19,Story dependency
CTMS-23-T02,blocked by,CTMS-23-T01,Task execution order
CTMS-24,blocked by,CTMS-19,Story dependency
CTMS-24,blocked by,CTMS-20,Story dependency
CTMS-24,blocked by,CTMS-23,Story dependency
CTMS-24-T02,blocked by,CTMS-24-T01,Task execution order
CTMS-25,blocked by,CTMS-19,Story dependency
CTMS-25-T02,blocked by,CTMS-25-T01,Task execution order
CTMS-26,blocked by,CTMS-25,Story dependency
CTMS-26-T02,blocked by,CTMS-26-T01,Task execution order
CTMS-27,blocked by,CTMS-26,Story dependency
CTMS-27-T02,blocked by,CTMS-27-T01,Task execution order
CTMS-28,blocked by,CTMS-26,Story dependency
CTMS-28-T02,blocked by,CTMS-28-T01,Task execution order
CTMS-29,blocked by,CTMS-26,Story dependency
CTMS-29-T02,blocked by,CTMS-29-T01,Task execution order
CTMS-30,blocked by,CTMS-06,Story dependency
CTMS-30,blocked by,CTMS-25,Story dependency
CTMS-30-T02,blocked by,CTMS-30-T01,Task execution order
CTMS-31,blocked by,CTMS-12,Story dependency
CTMS-31,blocked by,CTMS-13,Story dependency
CTMS-31,blocked by,CTMS-14,Story dependency
CTMS-31-T02,blocked by,CTMS-31-T01,Task execution order
CTMS-32,blocked by,CTMS-19,Story dependency
CTMS-32-T02,blocked by,CTMS-32-T01,Task execution order
CTMS-33,blocked by,CTMS-31,Story dependency
CTMS-33,blocked by,CTMS-32,Story dependency
CTMS-33-T02,blocked by,CTMS-33-T01,Task execution order
CTMS-34,blocked by,CTMS-06,Story dependency
CTMS-34,blocked by,CTMS-32,Story dependency
CTMS-34,blocked by,CTMS-33,Story dependency
