sprint,commitment,story_count,total_story_points,in_progress_count,to_do_count,must_have_count,should_have_count,could_have_count,story_ids
Sprint 1,Committed,7,39,4,3,7,0,0,"CTMS-01, CTMS-02, CTMS-03, CTMS-04, CTMS-06, CTMS-07, CTMS-124"
Sprint 1,Stretch,6,28,0,6,2,4,0,"CTMS-05, CTMS-08, CTMS-09, CTMS-123, CTMS-125, CTMS-126"
Sprint 2,Committed,10,55,0,10,9,1,0,"CTMS-10, CTMS-19, CTMS-20, CTMS-22, CTMS-23, CTMS-25, CTMS-26, CTMS-27, CTMS-28, CTMS-29"
Sprint 2,Stretch,11,52,0,11,8,3,0,"CTMS-11, CTMS-12, CTMS-13, CTMS-14, CTMS-15, CTMS-16, CTMS-17, CTMS-18, CTMS-21, CTMS-24, CTMS-30"
Sprint 3,Committed,10,61,0,10,9,1,0,"CTMS-32, CTMS-34, CTMS-35, CTMS-36, CTMS-37, CTMS-40, CTMS-41, CTMS-42, CTMS-43, CTMS-48"
Sprint 3,Stretch,24,121,0,24,13,10,1,"CTMS-31, CTMS-33, CTMS-38, CTMS-39, CTMS-44, CTMS-45, CTMS-46, CTMS-47, CTMS-49, CTMS-50, CTMS-51, CTMS-52, CTMS-53, CTMS-54, CTMS-55, CTMS-56, CTMS-57, CTMS-58, CTMS-59, CTMS-60, CTMS-61, CTMS-62, CTMS-63, CTMS-64"
Sprint 4,Committed,14,108,0,14,14,0,0,"CTMS-65, CTMS-66, CTMS-67, CTMS-68, CTMS-69, CTMS-70, CTMS-73, CTMS-74, CTMS-75, CTMS-80, CTMS-81, CTMS-82, CTMS-83, CTMS-84"
Sprint 4,Stretch,7,43,0,7,2,4,1,"CTMS-71, CTMS-72, CTMS-76, CTMS-77, CTMS-78, CTMS-79, CTMS-85"
Sprint 5,Committed,15,102,0,15,15,0,0,"CTMS-86, CTMS-87, CTMS-88, CTMS-92, CTMS-94, CTMS-95, CTMS-97, CTMS-98, CTMS-99, CTMS-100, CTMS-101, CTMS-104, CTMS-105, CTMS-109, CTMS-110"
Sprint 5,Stretch,22,121,0,22,8,13,1,"CTMS-89, CTMS-90, CTMS-91, CTMS-93, CTMS-96, CTMS-102, CTMS-103, CTMS-106, CTMS-107, CTMS-108, CTMS-111, CTMS-112, CTMS-113, CTMS-114, CTMS-115, CTMS-116, CTMS-117, CTMS-118, CTMS-119, CTMS-120, CTMS-121, CTMS-122"
